<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.20	12:00:00	31.495	32.033	30.927	31.978	12062	0	47
2024.05.20	16:00:00	31.979	32.315	31.694	31.703	7139	0	47
2024.05.20	20:00:00	31.711	31.864	31.448	31.744	2190	0	47
2024.05.21	00:00:00	31.749	32.479	31.053	31.381	8627	0	47
2024.05.21	04:00:00	31.377	31.718	31.239	31.630	5860	0	47
2024.05.21	08:00:00	31.634	31.808	31.433	31.806	5801	0	47
2024.05.21	12:00:00	31.805	32.256	31.459	31.715	11124	0	47
2024.05.21	16:00:00	31.716	32.039	31.523	32.019	6305	0	47
2024.05.21	20:00:00	32.018	32.048	31.950	32.009	1135	0	47
2024.05.22	00:00:00	32.008	32.179	31.592	31.669	6011	0	47
2024.05.22	04:00:00	31.669	31.887	31.570	31.826	5980	0	47
2024.05.22	08:00:00	31.821	31.891	31.368	31.516	5922	0	47
2024.05.22	12:00:00	31.524	31.791	31.080	31.315	10929	0	47
2024.05.22	16:00:00	31.315	31.378	30.735	30.845	8032	0	47
2024.05.22	20:00:00	30.852	30.931	30.697	30.890	2287	0	47
2024.05.23	00:00:00	30.887	30.961	30.227	30.512	7420	0	47
2024.05.23	04:00:00	30.513	30.549	30.141	30.267	6980	0	47
2024.05.23	08:00:00	30.275	30.632	30.235	30.599	6063	0	47
2024.05.23	12:00:00	30.598	30.918	30.157	30.419	11123	0	47
2024.05.23	16:00:00	30.418	30.506	30.044	30.115	6895	0	47
2024.05.23	20:00:00	30.120	30.203	30.066	30.135	1434	0	47
2024.05.24	00:00:00	30.137	30.398	30.023	30.222	6008	0	47
2024.05.24	04:00:00	30.222	30.552	30.219	30.350	5529	0	47
2024.05.24	08:00:00	30.349	30.585	30.265	30.472	4945	0	47
2024.05.24	12:00:00	30.472	30.601	30.245	30.273	8571	0	47
2024.05.24	16:00:00	30.270	30.379	30.198	30.329	4310	0	47
2024.05.24	20:00:00	30.336	30.350	30.316	30.334	351	0	47
2024.05.26	20:00:00	30.398	30.572	30.364	30.499	1219	0	47
2024.05.27	00:00:00	30.499	30.840	30.402	30.804	4352	0	47
2024.05.27	04:00:00	30.803	30.896	30.698	30.753	4378	0	47
2024.05.27	08:00:00	30.755	30.872	30.753	30.834	3057	0	47
2024.05.27	12:00:00	30.834	31.792	30.808	31.654	7985	0	47
2024.05.27	16:00:00	31.651	31.828	31.636	31.782	1896	0	47
2024.05.27	20:00:00	31.577	31.646	31.565	31.611	818	0	47
2024.05.28	00:00:00	31.611	31.865	31.603	31.730	5634	0	47
2024.05.28	04:00:00	31.730	31.780	31.222	31.476	6310	0	47
2024.05.28	08:00:00	31.473	31.642	31.363	31.609	4767	0	47
2024.05.28	12:00:00	31.605	32.223	31.388	32.004	10632	0	47
2024.05.28	16:00:00	32.004	32.088	31.781	31.994	6437	0	47
2024.05.28	20:00:00	31.991	32.105	31.987	32.031	1479	0	47
2024.05.29	00:00:00	32.031	32.161	31.803	32.075	5840	0	47
2024.05.29	04:00:00	32.076	32.280	31.975	32.056	6453	0	47
2024.05.29	08:00:00	32.063	32.154	31.842	31.943	6040	0	47
2024.05.29	12:00:00	31.936	32.104	31.584	32.047	9711	0	47
2024.05.29	16:00:00	32.047	32.226	31.909	31.919	5263	0	47
2024.05.29	20:00:00	31.926	32.037	31.853	32.003	1587	0	47
2024.05.30	00:00:00	32.004	32.070	31.262	31.581	7327	0	47
2024.05.30	04:00:00	31.583	31.717	31.136	31.458	7207	0	47
2024.05.30	08:00:00	31.460	31.573	31.273	31.273	5969	0	47
2024.05.30	12:00:00	31.273	31.782	31.124	31.325	10479	0	47
2024.05.30	16:00:00	31.329	31.386	30.986	31.090	5067	0	47
2024.05.30	20:00:00	31.090	31.204	31.058	31.162	1820	0	47
2024.05.31	00:00:00	31.160	31.173	30.759	30.935	6599	0	47
2024.05.31	04:00:00	30.935	31.213	30.836	31.059	5863	0	47
2024.05.31	08:00:00	31.056	31.319	31.037	31.247	5026	0	47
2024.05.31	12:00:00	31.243	31.745	30.237	30.276	12010	0	47
2024.05.31	16:00:00	30.269	30.478	30.171	30.352	7324	0	47
2024.05.31	20:00:00	30.353	30.395	30.337	30.385	754	0	47
2024.06.02	20:00:00	30.433	30.488	30.326	30.378	1287	0	47
2024.06.03	00:00:00	30.378	30.612	30.091	30.135	6207	0	47
2024.06.03	04:00:00	30.141	30.271	29.759	30.192	7270	0	47
2024.06.03	08:00:00	30.192	30.447	30.139	30.369	5768	0	47
2024.06.03	12:00:00	30.368	30.593	30.146	30.489	9944	0	47
2024.06.03	16:00:00	30.491	30.782	30.404	30.523	5977	0	47
2024.06.03	20:00:00	30.524	30.743	30.513	30.716	1501	0	47
2024.06.04	00:00:00	30.709	30.863	30.510	30.551	5620	0	47
2024.06.04	04:00:00	30.548	30.771	30.229	30.247	5877	0	47
2024.06.04	08:00:00	30.248	30.249	29.559	29.700	8411	0	47
2024.06.04	12:00:00	29.701	30.044	29.360	29.502	11038	0	47
2024.06.04	16:00:00	29.504	29.604	29.358	29.531	5543	0	47
2024.06.04	20:00:00	29.538	29.561	29.470	29.552	1068	0	47
2024.06.05	00:00:00	29.552	29.754	29.421	29.674	5288	0	47
2024.06.05	04:00:00	29.674	29.781	29.369	29.486	5435	0	47
2024.06.05	08:00:00	29.488	29.615	29.449	29.539	4683	0	47
2024.06.05	12:00:00	29.539	29.936	29.419	29.879	9656	0	47
2024.06.05	16:00:00	29.881	30.026	29.853	29.975	4594	0	47
2024.06.05	20:00:00	29.975	30.039	29.944	29.991	1156	0	47
2024.06.06	00:00:00	29.991	30.595	29.949	30.398	6266	0	47
2024.06.06	04:00:00	30.398	30.491	30.242	30.313	4892	0	47
2024.06.06	08:00:00	30.313	30.339	30.243	30.294	3873	0	47
2024.06.06	12:00:00	30.294	31.201	30.093	31.131	10175	0	47
2024.06.06	16:00:00	31.133	31.322	31.012	31.229	5605	0	47
2024.06.06	20:00:00	31.229	31.360	31.223	31.317	1296	0	47
2024.06.07	00:00:00	31.317	31.429	31.052	31.308	6313	0	47
2024.06.07	04:00:00	31.308	31.522	31.080	31.204	6172	0	47
2024.06.07	08:00:00	31.204	31.207	30.187	30.419	8093	0	47
2024.06.07	12:00:00	30.412	30.420	29.250	29.263	11522	0	47
2024.06.07	16:00:00	29.264	29.438	29.106	29.155	6124	0	47
2024.06.07	20:00:00	29.163	29.203	29.095	29.151	818	0	47
2024.06.09	20:00:00	29.123	29.320	29.113	29.302	1208	0	47
2024.06.10	00:00:00	29.303	29.541	29.221	29.366	3608	0	47
2024.06.10	04:00:00	29.367	29.648	29.329	29.642	5193	0	47
2024.06.10	08:00:00	29.646	29.749	29.588	29.749	4874	0	47
2024.06.10	12:00:00	29.745	29.793	29.380	29.643	7761	0	47
2024.06.10	16:00:00	29.650	29.798	29.637	29.679	4070	0	47
2024.06.10	20:00:00	29.680	29.793	29.655	29.694	1156	0	47
2024.06.11	00:00:00	29.694	29.701	29.013	29.213	7049	0	47
2024.06.11	04:00:00	29.208	29.249	29.027	29.207	5350	0	47
2024.06.11	08:00:00	29.215	29.275	29.120	29.219	4886	0	47
2024.06.11	12:00:00	29.219	29.525	29.054	29.071	8536	0	47
2024.06.11	16:00:00	29.071	29.237	29.071	29.199	4003	0	47
2024.06.11	20:00:00	29.206	29.301	29.194	29.278	1073	0	47
2024.06.12	00:00:00	29.281	29.464	29.163	29.422	4860	0	47
2024.06.12	04:00:00	29.423	29.463	29.291	29.361	4007	0	47
2024.06.12	08:00:00	29.361	29.411	29.303	29.353	3571	0	47
2024.06.12	12:00:00	29.352	30.233	29.310	30.093	10767	0	47
2024.06.12	16:00:00	30.095	30.160	29.476	29.578	8735	0	47
2024.06.12	20:00:00	29.585	29.721	29.519	29.519	1723	0	47
2024.06.13	00:00:00	29.519	29.637	28.824	29.138	7009	0	47
2024.06.13	04:00:00	29.138	29.364	29.074	29.291	5482	0	47
2024.06.13	08:00:00	29.294	29.380	28.991	29.091	4684	0	47
2024.06.13	12:00:00	29.084	29.466	28.700	28.727	10044	0	47
2024.06.13	16:00:00	28.724	28.995	28.635	28.919	5280	0	47
2024.06.13	20:00:00	28.920	28.953	28.882	28.892	1004	0	47
2024.06.14	00:00:00	28.892	29.083	28.810	28.966	5445	0	47
2024.06.14	04:00:00	28.968	29.106	28.853	29.064	5196	0	47
2024.06.14	08:00:00	29.065	29.362	28.995	29.254	5863	0	47
2024.06.14	12:00:00	29.258	29.259	28.995	29.138	8450	0	47
2024.06.14	16:00:00	29.138	29.557	29.133	29.556	4998	0	47
2024.06.14	20:00:00	29.556	29.557	29.522	29.537	405	0	47
2024.06.16	20:00:00	29.513	29.532	29.458	29.481	812	0	47
2024.06.17	00:00:00	29.480	29.536	29.160	29.211	5505	0	47
2024.06.17	04:00:00	29.211	29.242	29.004	29.068	4472	0	47
2024.06.17	08:00:00	29.068	29.265	29.047	29.221	4353	0	47
